title_main,title_original,release_year,runtime,country,language_,director,production,genre,top_cast,plot,rating_imdb,rating_metacritic,rating_rottentomatoes,imdb_id,website,trailer,poster_small,poster_large,connections,quality,subtitles
A ojos cerrados,,2010,65 min,Costa Rica,Spanish,Hernan Jimenez,,"Drama, Family","Carlos Luis Zamora, Carol Sanabria, Anabelle Ulloa, César Maurel","Gabo and Maga are an old couple who have lived together all their life and depend emotionally on each other completely. Delia, their grand-daughter, was brought up by them. The three of them live together harmoniously in a cosy atmosphere. At the age of 27, she already has a promising career in a big company. Everything is turned upside down with Maga's sudden death just at the moment when Delia is assigned a very responsible task, the management of a major project which may launch her carer or bring it to an inglorious end. And what's more to it, in the opening of the testament it turns out that Maga had expressed the wish that her ashes be dispersed in the Caribbean. Delia is facing a serious dilemma, as in her grand-father's life there is nothing else now but the accomplishment of his companion's last wish at a time when Delia can not abandon her professional commitment for a trip to the Caribbean.",73,,,tt1466427,,,https://m.media-amazon.com/images/M/MV5BMTQ4NTg4NDczMF5BMl5BanBnXkFtZTcwNjAyNTU1NA@@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4NTg4NDczMF5BMl5BanBnXkFtZTcwNjAyNTU1NA@@._V1_SX300.jpg,,SD,"Eng, Spa"
A.I. Artificial Intelligence,,2001,146 min,"USA, UK",English,Steven Spielberg,"Stanley Kubrick Productions, Warner Brothers, DreamWorks SKG, Amblin Entertainment","Drama, Sci-Fi","Haley Joel Osment, Frances O'Connor, Sam Robards, Jake Thomas","In the not-so-far future the polar ice caps have melted and the resulting rise of the ocean waters has drowned all the coastal cities of the world. Withdrawn to the interior of the continents, the human race keeps advancing, reaching the point of creating realistic robots (called mechas) to serve them. One of the mecha-producing companies builds David, an artificial kid which is the first to have real feelings, especially a never-ending love for his ""mother"", Monica. Monica is the woman who adopted him as a substitute for her real son, who remains in cryo-stasis, stricken by an incurable disease. David is living happily with Monica and her husband, but when their real son returns home after a cure is discovered, his life changes dramatically.",72,65,74,tt0212720,,,https://m.media-amazon.com/images/M/MV5BNWU2NzEyMDYtM2MyOS00OGM3LWFkNzAtMzRiNzE2ZjU5ZTljXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNWU2NzEyMDYtM2MyOS00OGM3LWFkNzAtMzRiNzE2ZjU5ZTljXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,,1080,Eng
Ace Ventura: Pet Detective,,1994,86 min,USA,English,Tom Shadyac,Warner Bros. Pictures,Comedy,"Jim Carrey, Courteney Cox, Sean Young, Tone Loc","To be a Pet Detective, you have to understand both the criminals and animals. Ace Ventura goes even further... He behaves like a criminal animal. When a football team's mascot (a dolphin) is stolen just before the Superbowl, Ace Ventura is put on the case. Now, who would want to steal a dolphin, and why?",69,37,47,tt0109040,,,https://m.media-amazon.com/images/M/MV5BYmVhNmFmOGYtZjgwNi00ZGQ0LThiMmQtOGZjMDUzNzJhMGIzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BYmVhNmFmOGYtZjgwNi00ZGQ0LThiMmQtOGZjMDUzNzJhMGIzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Ace Ventura,1080,
Ace Ventura: When Nature Calls,,1995,90 min,USA,English,Steve Oedekerk,Warner Home Video,"Adventure, Comedy, Crime","Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi","Ace Ventura, emerging from self-imposed exile in a remote Himalayan hideaway, travels to Africa with explorer Fulton Greenwall to find a sacred bat which is told will avert a war between with Wachootoo and Wachati tribes. Of course, when Ace gets involved, all hell breaks loose...",64,45,32,tt0112281,,,https://m.media-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Ace Ventura,1080,Eng
"Aguirre, the Wrath of God","Aguirre, der Zorn Gottes",1972,95 min,"West Germany, Mexico, Peru","English, Quechua, Spanish, German",Werner Herzog,New Yorker Films,"Action, Adventure, Biography, Drama, History","Klaus Kinski, Helena Rojo, Del Negro, Ruy Guerra","A few decades after the destruction of the Inca empire, a Spanish expedition leaves the mountains of Peru and goes down the Amazon river in search of gold and wealth. Soon, they come across great difficulties and Don Aguirres, a ruthless man who cares only about riches, becomes their leader. But will his quest lead them to ""the golden city"", or to certain destruction?",80,,98,tt0068182,,,https://m.media-amazon.com/images/M/MV5BMjRkY2VhYzMtZWQyNS00OTY2LWE5NTAtYjlhNmQyYzE5MmUxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMjRkY2VhYzMtZWQyNS00OTY2LWE5NTAtYjlhNmQyYzE5MmUxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,1080,Eng
Aimy in a Cage,,2015,79 min,USA,English,Hooroo Jackson,Ankaboot Productions,"Drama, Fantasy, Sci-Fi, Thriller","Crispin Glover, Allisyn Ashley Arm, Terry Moore, Paz de la Huerta",Delinquent. Orphan. Painter.,54,,60,tt3550078,,,https://m.media-amazon.com/images/M/MV5BMzI1YWI5ZWEtMmY1MS00OTM0LWJhNWQtZjMzNzkwMGM0MDYxXkEyXkFqcGdeQXVyNDk4ODMyOTA@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMzI1YWI5ZWEtMmY1MS00OTM0LWJhNWQtZjMzNzkwMGM0MDYxXkEyXkFqcGdeQXVyNDk4ODMyOTA@._V1_SX300.jpg,,1080,
Akira ,"アキラ, Akira",1988,124 min,Japan,Japanese,Katsuhiro Ôtomo,Streamline Pictures,"Animation, Action, Drama, Sci-Fi, Thriller","Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda","Kaneda is a bike gang leader whose close friend Tetsuo gets involved in a government secret project known as Akira. On his way to save Tetsuo, Kaneda runs into a group of anti-government activists, greedy politicians, irresponsible scientists and a powerful military leader. The confrontation sparks off Tetsuo's supernatural power leading to bloody death, a coup attempt and the final battle in Tokyo Olympiad where Akira's secrets were buried 30 years ago.",81,,89,tt0094625,,,https://m.media-amazon.com/images/M/MV5BM2ZiZTk1ODgtMTZkNS00NTYxLWIxZTUtNWExZGYwZTRjODViXkEyXkFqcGdeQXVyMTE2MzA3MDM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BM2ZiZTk1ODgtMTZkNS00NTYxLWIxZTUtNWExZGYwZTRjODViXkEyXkFqcGdeQXVyMTE2MzA3MDM@._V1_SX300.jpg,,1080,Eng
Alice,Něco z Alenky,1988,86 min,"Czechoslovakia, Switzerland, UK, West Germany",Czech,Jan Svankmajer,First Run Features,"Animation, Adventure, Fantasy, Horror, Thriller",Kristýna Kohoutová,"A memorably bizarre screen version of Lewis Carroll's novel 'Alice's Adventures in Wonderland', mixing one live actor (Alice) with a large variety of stop-motion animated creatures, ranging from the complex (the White Rabbit) to the incredibly simple (the Caterpillar, consisting of a sock, a couple of glass eyes and a pair of false teeth). The original story is followed reasonably faithfully, though those familiar with this director's other films won't be the least bit surprised by the numerous digressions into Svankmajer territory, living slabs of meat and all. As the opening narration says, it's a film made for children... perhaps?",75,,100,tt0095715,,,https://m.media-amazon.com/images/M/MV5BNGU0MzYxZmQtOTE5My00OTMzLTkyYzItNTA4NThhNzljODMzXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNGU0MzYxZmQtOTE5My00OTMzLTkyYzItNTA4NThhNzljODMzXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,,1080,Eng
Alice in the Cities ,Alice in den Städten,1974,110 min,West Germany,"German, English, Dutch",Wim Wenders,Pacific Arts,Drama,"Rüdiger Vogler, Yella Rottländer, Lisa Kreuzer, Edda Köchl","German journalist Philip Winter has a case of writer's block when trying to write an article about the United States. He decides to return to Germany, and while trying to book a flight, encounters a German woman and her nine year old daughter Alice doing the same. The three become friends (almost out of necessity) and while the mother asks Winter to mind Alice temporarily, it quickly becomes apparent that Alice will be his responsibility for longer than he expected. After returning to Europe, the innocent friendship between Winter and Alice grows as they travel together through various European cities on a quest for Alice's grandmother.",80,,100,tt0069687,http://www.wim-wenders.com/movies/movies_spec/aliceinthecities/aliceinthecities.htm,,https://m.media-amazon.com/images/M/MV5BYTcyMjZjNTItYTQ1Zi00ZTEzLWJmZjUtZjY5M2ZhMGFmNzQ0XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BYTcyMjZjNTItYTQ1Zi00ZTEzLWJmZjUtZjY5M2ZhMGFmNzQ0XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,Road trilogy,1080,Eng
Alien,,1979,116 min,"UK, USA",English,Ridley Scott,20th Century Fox,"Horror, Sci-Fi","Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton","A commercial crew aboard the deep space towing vessel, Nostromo is on its way home when they pick up an SOS warning from a distant moon. What they don't know is that the SOS warning is not like any other ordinary warning call. Picking up the signal, the crew realizes that they are not alone on the spaceship when an alien stowaway is on the cargo ship.",85,83,97,tt0078748,http://www.foxmovies.com/index1.html,,https://m.media-amazon.com/images/M/MV5BMmQ2MmU3NzktZjAxOC00ZDZhLTk4YzEtMDMyMzcxY2IwMDAyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMmQ2MmU3NzktZjAxOC00ZDZhLTk4YzEtMDMyMzcxY2IwMDAyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Alien,1080,"Eng, Swe"
Alien vs. Predator,,2004,101 min,"USA, UK, Czech Republic, Canada, Germany","English, Italian",Paul W.S. Anderson,20th Century Fox,"Action, Adventure, Horror, Sci-Fi, Thriller","Sanaa Lathan, Raoul Bova, Lance Henriksen, Ewen Bremner","When a private satellite encounters an unidentified source of heat in Antarctica and it is found to be a pyramid buried deep underground , a search team comprising of top-of-the-line archaeologists and engineers is sent to Antarctica to find out more . Once there , the team comes across signs which indicate that the place is inhabited by an unknown alien species . It is not long before the aliens begin to hunt the team members . At the same time , a trio of coming-of-age Predators have arrived to collect the skulls of the aliens as trophies , and the humans are caught between a deadly battle between the two warring species .",56,29,21,tt0370263,http://www.avp-movie.com,,https://m.media-amazon.com/images/M/MV5BMTU4MjIwMTcyMl5BMl5BanBnXkFtZTYwMTYwNDA3._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTU4MjIwMTcyMl5BMl5BanBnXkFtZTYwMTYwNDA3._V1_SX300.jpg,"Alien, Predator",1080,Eng
Alien: Covenant,,2017,122 min,"USA, UK",English,Ridley Scott,20th Century Fox,"Horror, Sci-Fi, Thriller","Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride","The crew of the colony ship Covenant, bound for a remote planet on the far side of the galaxy, discovers what they think is an uncharted paradise, but is actually a dark, dangerous world. When they uncover a threat beyond their imagination, they must attempt a harrowing escape",64,65,66,tt2316204,http://www.foxmovies.com/movies/alien-covenant,,https://m.media-amazon.com/images/M/MV5BYzVkMjRhNzctOGQxMC00OGE2LWJhN2EtNmYyODRiMDNlM2ZmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BYzVkMjRhNzctOGQxMC00OGE2LWJhN2EtNmYyODRiMDNlM2ZmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Alien,1080,Eng
Alien: Resurrection,,1997,109 min,USA,English,Jean-Pierre Jeunet,Twentieth Century Fox Home Entertainment,"Action, Horror, Sci-Fi","Sigourney Weaver, Winona Ryder, Dominique Pinon, Ron Perlman","200 years after the conclusion of Alien 3, the Company is able to resurrect Ripley through the process of cloning and the scientists successfully take the Queen Alien out of her. But, Ripley's DNA gets mixed up with the Queen's and she begins to develop certain alien characteristics. The scientists begin breeding the aliens, but they later escape. Soon the Xeno-morphs are running amok on the ship, which is on course to Earth. The Queen then gives birth to a deadly new breed of alien, which could spell disaster for the entire human race. It's up to Ripley and a band of space pirates to stop the ship before it reaches Earth.",62,63,54,tt0118583,,,https://m.media-amazon.com/images/M/MV5BMTdjYzU0MzAtZGMzOC00YTYwLWJhMTEtNDE4ODQwMDY2NWM1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTdjYzU0MzAtZGMzOC00YTYwLWJhMTEtNDE4ODQwMDY2NWM1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Alien,1080,"Eng, Swe"
Alien³,,1992,114 min,USA,English,David Fincher,Twentieth Century Fox Home Entertainment,"Action, Horror, Sci-Fi","Sigourney Weaver, Charles S. Dutton, Charles Dance, Paul McGann","After escaping from the alien moon, the ship carrying Ellen Ripley crashes onto a remote and inhabited ore refinery. While living in the ore refinery until she is rescued by her employers, Ripley discovers the horrifying reason for her crash: An alien stowaway. As the alien matures and begins to kill off the inhabitants, Ripley is unaware that her true enemy is more than just the killer alien.",64,59,43,tt0103644,,,https://m.media-amazon.com/images/M/MV5BYTNiYmQzNTctNzAyZC00ODY2LWE3ZjgtODU1NDA0NGI5ZDY1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BYTNiYmQzNTctNzAyZC00ODY2LWE3ZjgtODU1NDA0NGI5ZDY1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Alien,1080,"Eng, Swe"
Aliens,,1986,137 min,USA,English,James Cameron,20th Century Fox Film Corporat,"Action, Adventure, Sci-Fi, Thriller","Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser","Fifty seven years after Ellen Ripley survived her disastrous ordeal, her escape vessel is recovered after drifting across the galaxy as she slept in cryogenic stasis. Back on Earth, nobody believed her story about the ""Aliens"" on the moon LV-426. After the ""Company"" orders the colony on LV-426 to investigate, however, all communication with the colony is lost. The Company enlists Ripley to aid a team of tough, rugged space marines on a rescue mission to the now partially terraformed moon to find out if there are aliens or survivors. As the mission unfolds, Ripley will be forced to come to grips with her worst nightmare, but even as she does, she finds that the worst is yet to come.",84,84,99,tt0090605,,,https://m.media-amazon.com/images/M/MV5BZGU2OGY5ZTYtMWNhYy00NjZiLWI0NjUtZmNhY2JhNDRmODU3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BZGU2OGY5ZTYtMWNhYy00NjZiLWI0NjUtZmNhY2JhNDRmODU3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Alien,1080,"Eng, Swe"
